Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040117594700008-.bmp,0.005230589,12.80733894,0.983863275,396.8382308,0.345421068,31.18285407,4.331656383,2295.532402,6.083719009,2.02649754,9.91E-05,2.520504043,223330.5405,5.34E+07,0,0.017719744,15.59142703,0,0,0,0.017970259,318.8145833,0.821913629,895.1122472,0.167541637,45.8013465,4.031881618,5006.322602,5.593920791,2.973730679,6.35E-05,13.18910081,485841.243,1.18E+08,0,0.107508477,22.90067325,0,0,0
2015040117594700036-.bmp,0.007661523,10.50349178,0.990556493,556.1224245,0.369327078,29.86670253,4.211244196,2872.188748,5.847000795,1.941381658,1.03E-04,2.285442749,425742.3097,1.19E+08,0,0.032482394,14.93335126,0,0,0,0.024521897,210.005862,0.736611992,398.6625359,0.192187675,30.8935446,3.686333313,2124.876628,5.184235234,2.825264514,6.81E-05,10.69729395,177387.4041,3.93E+07,0,0.128860198,15.4467723,0,0,0
2015040117594700058-.bmp,0.012528444,5.596853808,0.990580274,297.0815724,0.475765145,25.13046101,4.074402494,1626.087036,5.383350184,1.643542142,1.21E-04,1.592902321,169054.1669,4.33E+07,0,0.046328899,12.5652305,0,0,0,0.025793291,542.8222809,0.521816791,567.5881861,0.18102144,41.07614111,3.563652413,3134.717272,4.972748403,2.836706017,6.80E-05,17.26091549,179464.9931,3.89E+07,0,0.131308685,20.53807055,0,0,0
2015040117594700063-.bmp,0.00768147,11.70311685,0.990261736,600.8831173,0.365287455,31.70464267,4.250059294,3145.583501,5.911675314,1.98402113,1.01E-04,2.381201095,412987.8077,1.09E+08,0,0.033698487,15.85232134,0,0,0,0.027086907,470.7883933,0.583671813,565.4053795,0.186116762,40.40428404,3.567717848,3147.765733,5.000424278,2.811989792,6.95E-05,16.03011868,170796.9853,3.16E+07,0,0.135961137,20.20214202,0,0,0
2015040117594700068-.bmp,0.009894706,9.030731612,0.98449453,291.2111608,0.387053553,24.31714919,4.018972432,1567.829891,5.587871576,1.884465794,1.06E-04,2.132387846,160493.1457,4.24E+07,0,0.039263824,12.1585746,0,0,0,0.027575176,238.1407799,0.619685659,313.0841442,0.196497777,28.90869197,3.56590195,1656.452803,4.965124001,2.806988121,6.90E-05,11.38255738,105630.5614,2.19E+07,0,0.13685772,14.45434598,0,0,0
2015040117594700087-.bmp,0.005991663,10.12903625,0.987281935,398.2145034,0.376935206,31.80618153,4.350726469,2336.53099,5.997639935,1.923056602,1.05E-04,2.23620892,203359.6963,4.82E+07,0,0.017797992,15.90309077,0,0,0,0.022376631,534.3955138,0.6536879,771.5518953,0.17206001,46.73470918,3.442358171,4426.039723,5.2175087,2.58626228,7.40E-05,17.15417319,302702.6668,6.55E+07,0,0.12208529,23.36735459,0,0,0
2015040117594700109-.bmp,0.006599039,11.14624739,0.98965833,538.8997633,0.360274685,32.73375391,4.348676408,2950.165431,6.024805806,1.979229308,1.01E-04,2.376411711,344863.5798,8.81E+07,0,0.032260694,16.36687696,0,0,0,0.021910993,294.1563022,0.638778242,407.1685819,0.178611354,34.44018975,3.511347703,2291.111296,5.19184639,2.725362904,7.20E-05,12.7887813,146480.1363,3.23E+07,0,0.120018258,17.22009487,0,0,0
2015040117594700126-.bmp,0.00754573,10.6795742,0.988126234,449.7130074,0.369727302,31.37416862,4.310225753,2520.629459,5.95045106,1.964188973,1.02E-04,2.319956312,228017.9425,4.96E+07,0,0.039091028,15.68708431,0,0,0,0.01905894,421.6026082,0.65838662,617.0756672,0.166043146,43.22994262,3.747046287,3605.599163,5.338697052,2.840612593,6.60E-05,15.30179969,206793.218,4.06E+07,0,0.10991458,21.61497131,0,0,0
2015040117594700149-.bmp,0.003702129,14.96859677,0.986570832,557.3166214,0.314671533,37.86112415,4.532042112,3325.125598,6.407439686,2.122442105,9.38E-05,2.811248044,326208.1353,8.06E+07,0,0.013442227,18.93056208,0,0,0,0.029827605,478.9431371,0.444754894,431.2898322,0.190791444,35.37024974,3.393857789,2268.705834,4.750207711,2.768553721,7.02E-05,16.18399517,125472.3405,2.71E+07,0,0.141666667,17.68512487,0,0,0
2015040117594700171-.bmp,0.003961854,15.1501891,0.988044985,633.6332142,0.331546305,40.96451487,4.639149091,3838.914866,6.45620511,2.110880734,9.53E-05,2.740401669,377211.4194,9.90E+07,0,0.02231025,20.48225743,0,0,0,0.040065368,1075.197724,0.206406017,677.423057,0.209444853,45.72209833,3.157672184,3446.224877,4.430237888,2.658785456,7.47E-05,24.00298644,89757.65462,1.53E+07,0,0.169780256,22.86104917,0,0,0
