Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040117594700000-.bmp,0.005734845,23.77142997,0.985561619,823.2027779,0.274551064,43.05106612,4.556516591,4750.870025,6.52134617,2.347541938,8.35E-05,3.537020736,394403.7246,8.39E+07,0,0.040336463,21.52553306,0,0,0,0.009067055,35.2993512,0.951839783,366.4783262,0.235250153,26.02635955,4.057675917,1913.237014,6.045092441,2.552616941,7.38E-05,4.433114893,215772.4559,5.61E+07,0,0.057153104,13.01317977,0,0,0
2015040117594700004-.bmp,8.77E-04,48.90877999,0.971479132,857.4209545,0.176927489,65.62945683,5.119965202,7042.173615,7.634998142,2.706789237,6.80E-05,5.380004564,351935.3856,8.46E+07,0,0.00323748,32.81472842,0,0,0,0.002810108,380.3816771,0.821150789,1063.414469,0.098642901,71.49175796,4.70181571,8334.172582,6.747705247,3.247864983,5.29E-05,15.13289645,406479.3816,9.21E+07,0,0.029753521,35.74587898,0,0,0
2015040117594700010-.bmp,0.001843106,66.74955334,0.960769237,850.7297473,0.166912437,53.76511802,4.926870914,5721.343817,7.412114162,2.865671578,6.22E-05,6.281510824,395249.9845,8.99E+07,0,0.023109025,26.88255901,0,0,0,0.051426592,2146.398243,0.030006696,1106.398484,0.230082069,55.34686685,2.95510009,5024.092919,4.085272218,2.590852888,7.84E-05,33.53011541,105873.125,1.97E+07,0,0.194969353,27.67343342,0,0,0
2015040117594700026-.bmp,0.002728443,16.50200509,0.983947514,514.001542,0.294417372,41.21367697,4.605137608,3379.689317,6.574156698,2.167236155,9.14E-05,2.985957877,312040.4908,8.20E+07,0,0.007351982,20.60683848,0,0,0,0.008312412,722.4801578,0.538444577,782.6580753,0.111835763,59.14126239,3.979483625,5450.97398,5.70928923,3.048127633,5.86E-05,20.79016693,192336.6389,3.66E+07,0,0.057244392,29.57063119,0,0,0
2015040117594700029-.bmp,0.005674975,154.4260629,0.88744633,686.0107836,0.158630904,47.61815336,4.758346259,4426.580136,7.065442307,3.245172978,5.22E-05,9.234187533,249863.8658,5.31E+07,0,0.059578769,23.80907668,0,0,0,0.049915392,1068.489922,0.169607405,643.3643129,0.233001335,42.66987154,3.078437092,3072.449011,4.246924835,2.631590013,7.76E-05,23.52620957,82441.52949,1.47E+07,0,0.195168232,21.33493577,0,0,0
2015040117594700032-.bmp,7.37E-04,66.42477178,0.962179333,878.1544133,0.153205289,71.08308555,5.189801744,7788.117732,7.794129132,2.857919269,6.25E-05,6.32403495,353090.8137,8.22E+07,0,0.003961268,35.54154278,0,0,0,0.002740811,85.0096831,0.939126362,698.2471093,0.158844996,43.12902973,4.652996632,4188.383878,6.990330573,2.979739085,5.85E-05,7.069522692,448687.4474,1.14E+08,0,0.031347809,21.56451487,0,0,0
2015040117594700033-.bmp,9.40E-04,41.78670449,0.957969186,497.0960656,0.184639018,57.14857851,4.923160006,4674.091896,7.410274209,2.63369746,7.04E-05,5.018238132,205137.1356,5.17E+07,0,0.002741914,28.57428925,0,0,0,0.004999856,16.73973983,0.980985438,440.1821016,0.299361822,34.94454551,4.473543718,2672.470617,6.347915652,2.195249584,8.93E-05,3.026326943,218158.4527,5.28E+07,0,0.034820031,17.47227276,0,0,0
2015040117594700042-.bmp,0.007433772,8.989208399,0.989580099,431.3480649,0.38602514,30.95453182,4.301415998,2426.791634,5.89021959,1.886090417,1.06E-04,2.138764997,242462.0454,5.78E+07,0,0.030920709,15.47726591,0,0,0,0.026879768,286.8345266,0.854187677,983.5743704,0.198930224,47.2030386,4.004298153,5513.594131,5.485909269,2.914520564,6.74E-05,12.20301252,446035.171,9.23E+07,0,0.141180882,23.6015193,0,0,0
2015040117594700043-.bmp,0.003328773,17.24323161,0.972572938,314.3470455,0.280736155,32.76830986,4.420008821,2043.771122,6.40230998,2.214762336,8.77E-05,3.149015389,144115.3611,3.36E+07,0,0.019806338,16.38415493,0,0,0,0.019832027,342.7381651,0.62038393,451.4273664,0.171591377,38.6460746,3.799727753,2677.239189,5.314815649,2.908559065,6.52E-05,13.77910146,111994.9727,1.93E+07,0,0.113302034,19.3230373,0,0,0
2015040117594700045-.bmp,0.00400617,10.57752021,0.985126793,355.5897687,0.345056888,34.74967071,4.477419543,2328.190745,6.219780736,1.975335873,1.00E-04,2.406875978,175873.6057,4.44E+07,0,0.014404017,17.37483535,0,0,0,0.003543485,28.17305034,0.983149215,835.9566255,0.249245904,47.84218179,4.717423155,5175.398259,6.834066943,2.424762537,8.04E-05,3.883881064,378314.4282,8.60E+07,0,0.023157929,23.9210909,0,0,0
