Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040117594700079-.bmp,0.00102426,101.1541341,0.926124494,684.6256623,0.143693199,56.41221961,4.95697478,5284.990736,7.656614527,3.039394249,5.83E-05,7.468225091,261341.0218,5.58E+07,0,0.00527843,28.20610981,0,0,0,0.021488906,629.9811163,0.334580108,473.3711178,0.165157987,42.18826291,3.529171463,2758.028706,5.00091779,2.855070947,6.63E-05,18.83643714,65804.4761,1.01E+07,0,0.115496218,21.09413146,0,0,0
2015040117594700081-.bmp,0.005824286,7.91734481,0.983136823,234.7524647,0.375487855,27.03822379,4.177792102,1453.691851,5.80865524,1.84562842,1.06E-04,2.097333073,120087.1749,3.15E+07,0,0.016588419,13.51911189,0,0,0,0.043716128,847.410521,0.266782834,577.8714413,0.221312292,41.36963028,3.197749237,2921.167747,4.433612055,2.672244253,7.55E-05,21.06762194,86034.94751,1.46E+07,0,0.181422796,20.68481514,0,0,0
2015040117594700083-.bmp,0.004475934,15.54933816,0.981911143,429.8043389,0.321996114,33.37322314,4.410046684,2542.533607,6.259417452,2.118552695,9.47E-05,2.788455269,232116.9164,5.56E+07,0,0.016428665,16.68661157,0,0,0,0.027262823,849.2997848,0.436891089,754.1168049,0.180805843,48.71591028,3.487470927,4212.779161,4.882314222,2.810218869,6.90E-05,21.62228091,198875.506,4.15E+07,0,0.135286255,24.35795514,0,0,0
2015040117594700090-.bmp,0.007878417,9.705907668,0.989710361,471.6349785,0.417091718,28.41322379,4.192067813,2463.498403,5.706280416,1.836827759,1.11E-04,2.023748044,378781.1161,1.10E+08,0,0.025045644,14.20661189,0,0,0,0.011548732,354.825626,0.705532363,602.4866264,0.141873061,45.857277,3.866311998,3818.362021,5.735795494,2.899954592,6.62E-05,14.29489437,227468.9687,5.16E+07,0,0.080415363,22.9286385,0,0,0
2015040117594700115-.bmp,0.006007868,9.120807251,0.98946457,432.8635483,0.379633586,31.50242567,4.331667425,2460.583489,5.958984308,1.890023852,1.06E-04,2.164410537,263378.1553,6.74E+07,0,0.018006651,15.75121283,0,0,0,0.019040792,242.526816,0.774049172,536.6805211,0.174477058,35.37279278,3.852346762,2897.733785,5.375524441,2.912311515,6.50E-05,11.59626043,312104.9443,8.51E+07,0,0.10969614,17.68639639,0,0,0
2015040117594700172-.bmp,0.004029016,11.05850287,0.989066145,505.7001041,0.352030696,37.83239437,4.562548317,3118.62457,6.289136355,1.983527172,1.01E-04,2.406709703,286776.2564,7.07E+07,0,0.015796166,18.91619718,0,0,0,0.015428179,830.7361242,0.559673612,943.3185783,0.145809481,59.34216875,3.836143708,6023.457006,5.416807708,2.951392081,6.31E-05,21.75227569,275904.9821,6.10E+07,0,0.095973526,29.67108438,0,0,0
2015040117594700240-.bmp,0.004223392,11.87254825,0.988013907,495.2634667,0.342233515,36.87529343,4.526656494,3015.61563,6.283610593,2.017224689,9.87E-05,2.499230569,280026.2178,7.13E+07,0,0.016581899,18.43764671,0,0,0,0.022356587,1030.141465,0.324175668,762.1370048,0.165218939,53.370729,3.494393048,4506.055443,4.947841184,2.832492208,6.71E-05,24.09081247,130497.7009,2.55E+07,0,0.118720657,26.6853645,0,0,0
2015040117594700274-.bmp,0.001849111,58.31021127,0.965964562,856.6102703,0.19862828,53.49086463,4.928652075,5726.419358,7.368547972,2.73978514,6.93E-05,5.406761868,410151.6971,9.64E+07,0,0.019946531,26.74543232,0,0,0,0.04944387,1213.858904,0.152006586,715.7242516,0.229663101,44.81517019,3.051126575,3393.273441,4.207570318,2.615148616,7.77E-05,25.17284494,91474.44522,1.58E+07,0,0.192110068,22.40758509,0,0,0
2015040117594700319-.bmp,0.005584686,12.59461724,0.983491952,381.469013,0.337136021,29.71157733,4.285996431,2159.741599,6.047826052,2.041658252,9.75E-05,2.564863719,241279.5831,6.59E+07,0,0.024488132,14.85578867,0,0,0,0.021022127,436.0762878,0.770696595,950.8718099,0.175452722,52.9821368,3.99757811,5766.897942,5.548093992,2.930712946,6.52E-05,15.32852439,320554.3523,6.12E+07,0,0.121531038,26.4910684,0,0,0
2015040117594700320-.bmp,0.009509744,8.130950052,0.987616289,328.2921365,0.404683295,22.37744849,3.890086701,1646.820142,5.416452419,1.808619211,1.10E-04,1.981706442,254929.9397,7.16E+07,0,0.022900365,11.18872424,0,0,0,0.044242031,1529.13841,0.13193538,880.7745272,0.217387551,51.26205986,2.862210253,4336.505141,4.295325782,2.395963367,8.18E-05,28.51234677,101103.3716,1.79E+07,0,0.179658972,25.63102993,0,0,0
